iter	Passed	Remaining
578	5497	3997
579	5505	3986
580	5514	3976
581	5522	3966
582	5530	3955
583	5539	3945
584	5548	3935
585	5556	3925
586	5564	3915
587	5573	3905
588	5581	3895
589	5590	3885
590	5599	3875
591	5608	3865
592	5616	3854
593	5625	3844
594	5633	3834
595	5641	3824
596	5650	3814
597	5659	3804
598	5668	3795
599	5677	3784
600	5686	3775
601	5694	3764
602	5703	3755
603	5712	3745
604	5720	3734
605	5729	3725
606	5743	3718
607	5755	3710
608	5764	3700
609	5773	3690
610	5781	3680
611	5790	3670
612	5799	3661
613	5808	3651
614	5817	3641
615	5825	3631
616	5833	3621
617	5842	3611
618	5851	3601
619	5859	3591
620	5867	3581
621	5876	3571
622	5885	3561
623	5893	3551
624	5902	3541
625	5910	3531
626	5920	3521
627	5928	3511
628	5937	3502
629	5945	3491
630	5954	3482
631	5963	3472
632	5972	3462
633	5981	3452
634	5990	3443
635	5998	3433
636	6007	3423
637	6017	3414
638	6026	3404
639	6035	3394
640	6042	3384
641	6051	3374
642	6060	3364
643	6069	3354
644	6077	3345
645	6086	3335
646	6095	3325
647	6104	3316
648	6113	3306
649	6122	3296
650	6130	3286
651	6139	3276
652	6148	3267
653	6157	3257
654	6166	3248
655	6175	3238
656	6183	3228
657	6191	3218
658	6200	3208
659	6207	3197
660	6215	3187
661	6223	3177
662	6231	3167
663	6240	3157
664	6248	3147
665	6257	3137
666	6266	3128
667	6274	3118
668	6284	3109
669	6293	3099
670	6302	3090
671	6311	3080
672	6320	3071
673	6330	3061
674	6339	3052
675	6348	3042
676	6358	3033
677	6367	3024
678	6377	3014
679	6386	3005
680	6395	2995
681	6405	2986
682	6413	2976
683	6423	2967
684	6431	2957
685	6441	2948
686	6450	2938
687	6460	2929
688	6470	2920
689	6479	2911
690	6488	2901
691	6497	2892
692	6506	2882
693	6515	2872
694	6524	2863
695	6533	2853
696	6542	2844
697	6550	2834
698	6559	2824
699	6567	2814
700	6576	2805
701	6585	2795
702	6593	2785
703	6603	2776
704	6611	2766
705	6620	2756
706	6629	2747
707	6638	2737
708	6647	2728
709	6655	2718
710	6664	2708
711	6673	2699
712	6682	2689
713	6691	2680
714	6700	2670
715	6708	2661
716	6720	2652
717	6732	2644
718	6744	2635
719	6755	2627
720	6768	2619
721	6784	2612
722	6800	2605
723	6812	2596
724	6824	2588
725	6836	2580
726	6848	2571
727	6860	2563
728	6872	2554
729	6883	2546
730	6895	2537
731	6907	2529
732	6920	2520
733	6932	2512
734	6944	2503
735	6956	2495
736	6968	2486
737	6980	2478
738	6992	2469
739	7004	2461
740	7017	2452
741	7029	2444
742	7041	2435
743	7054	2427
744	7068	2419
745	7081	2411
746	7093	2402
747	7104	2393
748	7116	2384
749	7129	2376
750	7141	2367
751	7154	2359
752	7167	2350
753	7179	2342
754	7193	2334
755	7207	2326
756	7222	2318
757	7238	2310
758	7252	2302
759	7266	2294
760	7279	2286
761	7292	2277
762	7304	2268
763	7316	2259
764	7328	2251
765	7340	2242
766	7353	2233
767	7365	2225
768	7377	2216
769	7389	2207
770	7401	2198
771	7413	2189
772	7425	2180
773	7437	2171
774	7449	2162
775	7461	2153
776	7472	2144
777	7484	2135
778	7496	2126
779	7508	2117
780	7520	2108
781	7533	2100
782	7544	2091
783	7557	2082
784	7569	2073
785	7581	2064
786	7593	2055
787	7605	2046
788	7619	2037
789	7631	2028
790	7643	2019
791	7655	2010
792	7667	2001
793	7679	1992
794	7691	1983
795	7703	1974
796	7716	1965
797	7727	1956
798	7739	1947
799	7751	1937
800	7762	1928
801	7777	1920
802	7792	1911
803	7804	1902
804	7816	1893
805	7828	1884
806	7840	1875
807	7852	1866
808	7864	1856
809	7876	1847
810	7888	1838
811	7900	1829
812	7912	1819
813	7924	1810
814	7937	1801
815	7949	1792
816	7960	1783
817	7973	1774
818	7985	1764
819	7997	1755
820	8009	1746
821	8022	1737
822	8034	1728
823	8047	1718
824	8061	1710
825	8075	1701
826	8088	1692
827	8103	1683
828	8117	1674
829	8131	1665
830	8144	1656
831	8158	1647
832	8172	1638
833	8185	1629
834	8200	1620
835	8212	1611
836	8224	1601
837	8236	1592
838	8248	1582
839	8260	1573
840	8272	1563
841	8284	1554
842	8297	1545
843	8308	1535
844	8321	1526
845	8332	1516
846	8344	1507
847	8356	1497
848	8367	1488
849	8378	1478
850	8390	1469
851	8402	1459
852	8417	1450
853	8428	1440
854	8440	1431
855	8452	1421
856	8464	1412
857	8475	1402
858	8487	1393
859	8499	1383
860	8510	1373
861	8522	1364
862	8534	1354
863	8547	1345
864	8559	1335
865	8571	1326
866	8583	1316
867	8595	1307
868	8606	1297
869	8619	1287
870	8630	1278
871	8642	1268
872	8654	1258
873	8665	1249
874	8677	1239
875	8689	1229
876	8701	1220
877	8713	1210
878	8726	1201
879	8738	1191
880	8750	1181
881	8763	1172
882	8775	1162
883	8788	1153
884	8800	1143
885	8812	1133
886	8825	1124
887	8836	1114
888	8848	1104
889	8860	1095
890	8872	1085
891	8884	1075
892	8896	1066
893	8908	1056
894	8920	1046
895	8931	1036
896	8943	1026
897	8956	1017
898	8967	1007
899	8979	997
900	8990	987
901	9003	978
902	9015	968
903	9027	958
904	9039	948
905	9051	939
906	9068	929
907	9084	920
908	9102	911
909	9118	901
910	9134	892
911	9153	883
912	9173	874
913	9189	864
914	9207	855
915	9223	845
916	9240	836
917	9257	826
918	9274	817
919	9292	808
920	9311	798
921	9327	789
922	9344	779
923	9361	769
924	9379	760
925	9399	751
926	9416	741
927	9433	731
928	9451	722
929	9467	712
930	9485	702
931	9502	693
932	9520	683
933	9536	673
934	9553	664
935	9570	654
936	9587	644
937	9606	634
938	9623	625
939	9640	615
940	9656	605
941	9673	595
942	9691	585
943	9708	575
944	9725	566
945	9741	556
946	9757	546
947	9775	536
948	9791	526
949	9809	516
950	9826	506
951	9842	496
952	9851	485
953	9859	475
954	9869	465
955	9877	454
956	9886	444
957	9895	433
958	9903	423
959	9912	413
960	9920	402
961	9929	392
962	9938	381
963	9946	371
964	9955	361
965	9964	350
966	9972	340
967	9980	329
968	9988	319
969	9997	309
970	10006	298
971	10016	288
972	10025	278
973	10034	267
974	10043	257
975	10052	247
976	10061	236
977	10069	226
978	10078	216
979	10087	205
980	10095	195
981	10104	185
982	10112	174
983	10121	164
984	10131	154
985	10144	144
986	10157	133
987	10166	123
988	10175	113
989	10185	102
990	10193	92
991	10203	82
992	10212	71
993	10222	61
994	10231	51
995	10240	41
996	10249	30
997	10258	20
998	10266	10
999	10276	0
