iter	Passed	Remaining
666	9615	4800
667	9629	4785
668	9641	4770
669	9656	4756
670	9671	4741
671	9686	4727
672	9698	4712
673	9712	4697
674	9726	4682
675	9741	4669
676	9754	4653
677	9766	4638
678	9782	4624
679	9797	4610
680	9812	4596
681	9829	4583
682	9845	4569
683	9861	4555
684	9877	4542
685	9892	4527
686	9909	4514
687	9925	4500
688	9940	4486
689	9954	4472
690	9969	4458
691	9985	4444
692	9999	4430
693	10016	4416
694	10030	4401
695	10044	4387
696	10059	4373
697	10075	4359
698	10090	4345
699	10105	4330
700	10120	4316
701	10135	4302
702	10149	4288
703	10165	4274
704	10180	4259
705	10194	4245
706	10212	4232
707	10226	4217
708	10244	4204
709	10259	4190
710	10272	4175
711	10286	4160
712	10298	4145
713	10314	4131
714	10328	4116
715	10342	4102
716	10356	4087
717	10369	4072
718	10383	4057
719	10397	4043
720	10411	4029
721	10427	4014
722	10443	4001
723	10457	3986
724	10473	3972
725	10486	3957
726	10502	3943
727	10515	3929
728	10530	3914
729	10544	3900
730	10559	3885
731	10572	3870
732	10586	3856
733	10601	3842
734	10617	3828
735	10634	3814
736	10648	3800
737	10663	3785
738	10678	3771
739	10693	3757
740	10707	3742
741	10720	3727
742	10735	3713
743	10749	3698
744	10763	3684
745	10777	3669
746	10791	3654
747	10806	3640
748	10823	3626
749	10837	3612
750	10851	3598
751	10866	3583
752	10880	3569
753	10894	3554
754	10907	3539
755	10922	3525
756	10937	3510
757	10952	3496
758	10967	3482
759	10981	3467
760	10996	3453
761	11011	3439
762	11024	3424
763	11038	3409
764	11054	3395
765	11069	3381
766	11084	3367
767	11099	3352
768	11113	3338
769	11127	3323
770	11140	3309
771	11155	3294
772	11172	3280
773	11186	3266
774	11200	3251
775	11213	3237
776	11226	3222
777	11240	3207
778	11254	3192
779	11268	3178
780	11281	3163
781	11292	3148
782	11306	3133
783	11319	3118
784	11333	3104
785	11345	3089
786	11358	3074
787	11370	3059
788	11385	3044
789	11399	3030
790	11412	3015
791	11425	3000
792	11440	2986
793	11453	2971
794	11466	2956
795	11478	2941
796	11492	2927
797	11507	2912
798	11522	2898
799	11536	2884
800	11550	2869
801	11566	2855
802	11578	2840
803	11593	2826
804	11607	2811
805	11621	2797
806	11635	2782
807	11649	2768
808	11661	2753
809	11674	2738
810	11688	2723
811	11702	2709
812	11716	2694
813	11730	2680
814	11747	2666
815	11761	2652
816	11776	2637
817	11790	2623
818	11803	2608
819	11818	2594
820	11833	2580
821	11846	2565
822	11859	2550
823	11872	2535
824	11886	2521
825	11899	2506
826	11912	2491
827	11925	2477
828	11943	2463
829	11958	2449
830	11974	2435
831	11989	2420
832	12003	2406
833	12016	2391
834	12031	2377
835	12045	2362
836	12058	2348
837	12071	2333
838	12086	2319
839	12100	2304
840	12114	2290
841	12127	2275
842	12141	2261
843	12155	2246
844	12168	2232
845	12182	2217
846	12195	2203
847	12209	2188
848	12224	2174
849	12238	2159
850	12252	2145
851	12266	2130
852	12280	2116
853	12294	2101
854	12307	2087
855	12320	2072
856	12333	2057
857	12346	2043
858	12358	2028
859	12372	2014
860	12387	1999
861	12400	1985
862	12413	1970
863	12425	1955
864	12439	1941
865	12454	1927
866	12468	1912
867	12487	1898
868	12500	1884
869	12514	1869
870	12529	1855
871	12543	1841
872	12558	1826
873	12574	1812
874	12587	1798
875	12603	1784
876	12616	1769
877	12631	1755
878	12646	1740
879	12661	1726
880	12676	1712
881	12695	1698
882	12711	1684
883	12725	1669
884	12740	1655
885	12753	1640
886	12766	1626
887	12781	1612
888	12798	1597
889	12812	1583
890	12826	1569
891	12841	1554
892	12853	1540
893	12866	1525
894	12881	1511
895	12896	1496
896	12910	1482
897	12925	1468
898	12942	1454
899	12955	1439
900	12968	1424
901	12985	1410
902	12999	1396
903	13013	1381
904	13027	1367
905	13041	1353
906	13057	1338
907	13072	1324
908	13085	1309
909	13100	1295
910	13112	1281
911	13128	1266
912	13142	1252
913	13157	1238
914	13171	1223
915	13184	1209
916	13198	1194
917	13211	1180
918	13226	1165
919	13241	1151
920	13256	1137
921	13271	1122
922	13287	1108
923	13302	1094
924	13314	1079
925	13327	1065
926	13340	1050
927	13353	1036
928	13368	1021
929	13382	1007
930	13398	992
931	13412	978
932	13426	964
933	13440	949
934	13453	935
935	13467	920
936	13480	906
937	13495	892
938	13509	877
939	13522	863
940	13536	848
941	13550	834
942	13563	819
943	13576	805
944	13591	791
945	13604	776
946	13617	762
947	13632	747
948	13647	733
949	13662	719
950	13677	704
951	13693	690
952	13708	676
953	13723	661
954	13736	647
955	13749	632
956	13764	618
957	13777	604
958	13792	589
959	13806	575
960	13820	560
961	13835	546
962	13849	532
963	13862	517
964	13876	503
965	13890	488
966	13906	474
967	13921	460
968	13935	445
969	13948	431
970	13961	416
971	13974	402
972	13989	388
973	14002	373
974	14016	359
975	14031	345
976	14044	330
977	14058	316
978	14070	301
979	14084	287
980	14095	272
981	14114	258
982	14131	244
983	14145	230
984	14167	215
985	14183	201
986	14202	187
987	14212	172
988	14233	158
989	14250	143
990	14269	129
991	14289	115
992	14304	100
993	14321	86
994	14339	72
995	14357	57
996	14372	43
997	14390	28
998	14408	14
999	14423	0
